Khmer,Math,Biology,History,Chemistry,Physics,English,Interest,Major
C,A,A,B,A,A,A,I'm passionate about critical thinking,Software Engineering
B,B,A,C,A,A,A,App Developer career path,Software Engineering
B,C,B,B,C,A,D,Helping with Problem Solving in Software Engineering,Software Engineering
B,B,A,A,B,A,E,I enjoy coding and System Design,Software Engineering
B,C,A,B,C,C,B,"software developer, web development",Software Engineering
D,B,C,D,C,D,A,I'm passionate about software development,Software Engineering
C,C,C,C,C,A,E,programming and apps,Software Engineering
C,C,E,C,F,C,E,programming and apps,Software Engineering
C,B,B,B,C,A,A,"Good at Problem Solving, want to be a System Architect",Software Engineering
C,C,F,D,F,B,B,"Good at Mathematics, want to be a System Architect",Software Engineering
A,A,A,A,B,A,A,Researching Software Engineering opportunities,Software Engineering
D,B,B,E,B,A,A,I love computer science,Software Engineering
A,C,C,C,C,A,B,python web development logic,Software Engineering
C,A,B,A,A,A,D,Researching Software Engineering opportunities,Software Engineering
B,B,C,C,B,A,B,software development frontend apps,Software Engineering
C,A,A,B,A,A,A,Helping with Problem Solving in Software Engineering,Software Engineering
D,C,D,D,F,A,A,How can I study Software Engineering?,Software Engineering
A,B,A,D,B,A,A,Interested in Software Engineering and coding,Software Engineering
E,C,E,D,D,A,A,"Good at Algorithms, want to be a System Architect",Software Engineering
B,C,A,C,D,B,B,backend web development build apps,Software Engineering
C,A,F,D,C,A,C,I enjoy coding and Programming,Software Engineering
B,A,A,B,A,A,A,I'm passionate about software development,Software Engineering
A,B,C,B,C,A,B,tech and software,Software Engineering
C,A,A,B,A,A,A,coding and building apps,Software Engineering
C,B,C,C,B,A,B,javascript and python developer,Software Engineering
C,A,B,A,A,A,D,Study Software Engineering,Software Engineering
B,B,A,C,B,A,B,Software Engineering,Software Engineering
C,B,E,B,F,A,B,I want to improve my skills in Version Control,Software Engineering
B,A,A,A,A,A,C,My goal is to become a Full Stack Developer,Software Engineering
B,C,A,C,B,A,A,frontend python coding,Software Engineering
B,C,B,E,E,A,C,My goal is to become a Software Engineer,Software Engineering
E,C,C,D,F,A,D,"programming, mobile development",Software Engineering
C,A,A,B,A,A,B,programming and apps,Software Engineering
B,A,B,B,A,A,C,"math, mobile development",Software Engineering
B,B,A,A,A,A,B,I love math,Software Engineering
B,C,A,C,B,A,C,tech and software,Software Engineering
D,B,C,D,C,D,A,I want to work with web development,Software Engineering
D,C,E,B,C,A,B,Interested in Software Engineering and math,Software Engineering
C,B,C,B,C,A,E,How can I study Software Engineering?,Software Engineering
B,B,F,D,C,B,C,I am interested in Software Engineering,Software Engineering
D,C,F,D,C,B,C,I want to apply my Mathematics skills in the field of Software Engineering,Software Engineering
A,A,A,C,B,A,D,I want to apply my Algorithms skills in the field of Software Engineering,Software Engineering
A,B,B,B,C,A,B,Is Software Engineering a good major?,Software Engineering
B,A,B,A,A,A,A,I enjoy frontend and Mathematics,Software Engineering
B,B,A,D,B,A,D,I'm passionate about mathematics,Software Engineering
B,C,B,E,E,A,C,My goal is to become a Backend Developer,Software Engineering
C,C,F,E,F,C,B,"Learning more about Professional study of building software systems, application...",Software Engineering
C,A,F,D,C,A,C,How can I study Software Engineering?,Software Engineering
A,B,B,C,A,A,C,Interested in Software Engineering and javascript,Software Engineering
C,B,C,B,B,A,D,"code, algorithm",Software Engineering
C,B,C,B,C,A,E,Focusing on Mathematics and Programming,Software Engineering
C,B,B,B,E,B,C,Study Software Engineering,Software Engineering
B,B,A,A,B,A,E,Is Software Engineering a good major?,Software Engineering
B,C,B,B,D,A,E,I am interested in Software Engineering,Software Engineering
B,A,B,B,B,C,E,software development computer science critical thinking,Software Engineering
B,A,A,C,C,A,F,javascript and python developer,Software Engineering
D,B,C,C,D,A,F,I love computer science,Software Engineering
B,A,A,A,B,A,B,I'm passionate about frontend,Software Engineering
E,C,D,D,B,A,E,My goal is to become a System Architect,Software Engineering
B,B,A,B,B,A,E,My goal is to become a Software Engineer,Software Engineering
B,A,A,C,B,A,A,Focusing on System Design and Algorithms,Software Engineering
B,A,A,A,A,A,C,I want to study Software Engineering,Software Engineering
B,B,C,B,D,B,A,Helping with Programming in Software Engineering,Software Engineering
B,A,A,A,A,A,A,Is Software Engineering a good major?,Software Engineering
D,B,B,E,B,A,A,I love software developer,Software Engineering
B,B,A,B,B,A,C,Is Software Engineering a good major?,Software Engineering
E,C,D,F,B,B,B,programming and apps,Software Engineering
B,C,C,D,A,A,D,Helping with Programming in Software Engineering,Software Engineering
B,B,E,C,C,B,D,I want to study Software Engineering,Software Engineering
B,C,C,C,C,A,F,I enjoy python and Problem Solving,Software Engineering
B,C,A,A,C,A,A,javascript and python developer,Software Engineering
B,A,B,B,A,A,B,My goal is to become a App Developer,Software Engineering
B,A,B,C,A,A,E,I want to apply my Mathematics skills in the field of Software Engineering,Software Engineering
D,B,D,D,A,A,D,build apps computer science critical thinking,Software Engineering
B,B,B,B,D,A,E,javascript mobile development software developer,Software Engineering
B,A,B,B,B,A,D,build apps coding software engineering,Software Engineering
E,B,F,E,C,A,A,I enjoy mathematics and Mathematics,Software Engineering
C,B,C,B,D,A,D,"tech, javascript",Software Engineering
B,B,A,C,A,A,A,I love logic,Software Engineering
C,C,C,B,F,C,E,Helping with Programming in Software Engineering,Software Engineering
C,C,D,D,E,A,C,programming and apps,Software Engineering
A,C,B,C,B,A,C,coding and building apps,Software Engineering
B,A,A,A,A,A,B,"Learning more about Professional study of building software systems, application...",Software Engineering
B,C,A,C,B,A,C,I want to work with tech,Software Engineering
B,B,B,C,B,A,A,I'm passionate about javascript,Software Engineering
B,B,E,E,C,A,B,javascript and python developer,Software Engineering
B,C,B,C,B,A,A,Is Software Engineering a good major?,Software Engineering
C,B,B,B,E,B,C,Software Engineering seems like a good fit for me,Software Engineering
A,B,C,B,C,A,B,I'm passionate about javascript,Software Engineering
E,C,D,F,B,B,B,I want to apply my Problem Solving skills in the field of Software Engineering,Software Engineering
B,A,B,B,B,C,E,Helping with Problem Solving in Software Engineering,Software Engineering
D,B,A,B,A,A,B,How can I study Software Engineering?,Software Engineering
A,B,F,B,C,A,B,javascript and python developer,Software Engineering
C,C,D,D,B,A,D,tech and software,Software Engineering
C,B,A,C,B,A,B,I want to study Software Engineering,Software Engineering
A,C,F,C,B,B,B,I am looking for a career in Full Stack Developer,Software Engineering
C,B,D,D,C,A,A,"Learning more about Professional study of building software systems, application...",Software Engineering
B,A,A,D,A,A,A,I'm passionate about math,Software Engineering
A,C,B,C,B,A,C,tech and software,Software Engineering
B,C,F,B,C,A,B,Interested in Software Engineering and code,Software Engineering
B,C,C,B,B,A,F,How can I study Software Engineering?,Software Engineering
B,C,C,C,A,A,D,My goal is to become a App Developer,Software Engineering
A,B,A,B,B,A,F,"Good at System Design, want to be a Backend Developer",Software Engineering
B,C,A,C,B,A,A,I am interested in Software Engineering,Software Engineering
B,C,C,C,C,A,F,tech and software,Software Engineering
A,C,C,B,E,B,E,I want to apply my Mathematics skills in the field of Software Engineering,Software Engineering
C,B,B,D,C,A,B,App Developer career path,Software Engineering
A,B,B,C,B,A,C,programming and apps,Software Engineering
B,A,D,C,A,A,A,coding and building apps,Software Engineering
D,C,E,B,C,A,B,Software Engineering,Software Engineering
B,C,F,A,B,A,F,I want to apply my Mathematics skills in the field of Software Engineering,Software Engineering
C,C,E,C,F,C,E,I want to improve my skills in System Design,Software Engineering
B,B,C,C,D,A,B,I want to apply my Problem Solving skills in the field of Software Engineering,Software Engineering
A,C,B,C,B,A,C,Focusing on Programming and Algorithms,Software Engineering
B,B,B,A,D,A,D,I want to study Software Engineering,Software Engineering
D,C,A,C,C,B,D,Software Engineering,Software Engineering
A,B,B,B,C,A,B,tech and software,Software Engineering
C,B,C,B,A,B,D,I want to study Software Engineering,Software Engineering
A,A,A,A,A,A,A,I want to study Software Engineering,Software Engineering
C,C,F,E,F,C,B,tech and software,Software Engineering
C,B,A,C,B,A,A,"Learning more about Professional study of building software systems, application...",Software Engineering
B,C,E,C,C,D,F,Focusing on System Design and Version Control,Software Engineering
A,A,D,C,B,A,E,Researching Software Engineering opportunities,Software Engineering
B,B,E,E,C,A,B,Interested in Software Engineering and logic,Software Engineering
A,A,C,C,C,C,E,I enjoy code and Programming,Software Engineering
C,C,C,D,C,A,D,Is Software Engineering a good major?,Software Engineering
C,B,F,B,B,B,C,programming and apps,Software Engineering
B,C,F,C,C,A,E,Full Stack Developer career path,Software Engineering
C,B,C,D,A,B,E,Study Software Engineering,Software Engineering
B,A,B,A,A,A,A,Focusing on Mathematics and Problem Solving,Software Engineering
B,A,A,B,A,A,A,programming and apps,Software Engineering
D,A,A,C,B,A,B,I'm passionate about logic,Software Engineering
B,C,E,C,C,A,F,"Good at Version Control, want to be a Frontend Developer",Software Engineering
B,A,B,C,A,A,E,App Developer career path,Software Engineering
C,C,D,C,C,A,B,I enjoy mathematics and Mathematics,Software Engineering
B,A,A,C,C,A,B,I want to work with computer science,Software Engineering
D,A,D,A,B,A,B,I am interested in Software Engineering,Software Engineering
D,A,D,E,C,A,E,My goal is to become a App Developer,Software Engineering
C,A,C,F,E,B,D,javascript and python developer,Software Engineering
D,A,B,C,A,A,A,I love web development,Software Engineering
C,C,D,A,D,A,C,programming and apps,Software Engineering
B,C,E,C,B,A,D,Backend Developer career path,Software Engineering
A,C,B,C,D,B,B,I love critical thinking,Software Engineering
C,B,A,C,B,A,A,I'm passionate about technology,Software Engineering
B,B,C,D,C,A,D,I want to apply my Programming skills in the field of Software Engineering,Software Engineering
B,B,B,B,C,A,C,"Good at System Design, want to be a System Architect",Software Engineering
D,C,F,A,C,B,B,Is Software Engineering a good major?,Software Engineering
B,C,B,B,C,B,F,I am looking for a career in Software Engineer,Software Engineering
C,B,D,B,C,A,F,I want to improve my skills in System Design,Software Engineering
B,B,F,D,C,A,D,I want to study Software Engineering,Software Engineering
B,C,A,F,B,A,A,"Good at Algorithms, want to be a App Developer",Software Engineering
D,B,A,B,B,A,F,coding and building apps,Software Engineering
B,C,A,B,C,A,B,I'm passionate about math,Software Engineering
D,A,B,C,A,A,A,I am interested in Software Engineering,Software Engineering
C,A,A,A,A,A,A,Helping with Programming in Software Engineering,Software Engineering
D,C,E,B,C,A,B,I want to apply my Algorithms skills in the field of Software Engineering,Software Engineering
B,A,A,C,C,A,B,"Learning more about Professional study of building software systems, application...",Software Engineering
A,B,C,B,C,A,B,I am interested in Software Engineering,Software Engineering
A,B,A,B,A,A,C,Researching Software Engineering opportunities,Software Engineering
B,B,B,A,D,A,D,Focusing on System Design and Mathematics,Software Engineering
B,C,D,B,C,B,C,"Learning more about Professional study of building software systems, application...",Software Engineering
B,A,B,B,A,A,B,I am looking for a career in Software Engineer,Software Engineering
B,B,B,A,D,A,D,I want to improve my skills in System Design,Software Engineering
A,A,A,A,C,A,D,Interested in Software Engineering and computer science,Software Engineering
B,C,E,D,E,B,D,javascript and python developer,Software Engineering
E,B,E,C,C,A,B,Is Software Engineering a good major?,Software Engineering
B,C,C,C,F,A,D,I want to apply my Version Control skills in the field of Software Engineering,Software Engineering
C,C,D,C,C,A,C,I am looking for a career in Software Engineer,Software Engineering
D,C,D,C,C,B,D,I enjoy logic and Programming,Software Engineering
C,C,A,C,B,A,D,I'm passionate about technology,Software Engineering
B,A,B,C,C,B,B,Researching Software Engineering opportunities,Software Engineering
B,B,B,B,B,A,B,I'm passionate about coding,Software Engineering
C,B,C,B,A,B,D,I enjoy technology and System Design,Software Engineering
B,A,B,B,B,C,E,Researching Software Engineering opportunities,Software Engineering
B,A,A,C,C,A,F,Helping with Mathematics in Software Engineering,Software Engineering
C,A,A,A,D,A,A,Focusing on Mathematics and Version Control,Software Engineering
B,B,A,C,B,A,C,Software Engineering,Software Engineering
C,B,B,E,E,B,B,Study Software Engineering,Software Engineering
A,B,B,C,B,A,B,I am looking for a career in System Architect,Software Engineering
C,A,A,A,D,A,A,coding and building apps,Software Engineering
A,B,B,C,B,A,A,javascript and python developer,Software Engineering
C,B,A,C,B,A,B,javascript and python developer,Software Engineering
B,A,A,A,A,A,B,Software Engineer career path,Software Engineering
B,C,C,D,B,A,F,I enjoy algorithm and Version Control,Software Engineering
F,C,C,D,E,C,D,My goal is to become a Full Stack Developer,Software Engineering
